bins,z_score,p_val,significant
0,-4.1897741457538995,2.7923224360500017e-05,True
1,3.5503580124836316,0.00038470759403592996,True
2,1.002006020070253,0.31634068532105364,False
3,3.2274861218395143,0.0012488309880884225,True
4,1.002006020070253,0.31634068532105364,False
5,3.7031176282662654,0.00021296607486092535,True
6,1.419904585617662,0.15563546075803855,False
7,3.994677309684806,6.478242492632285e-05,True
8,-10.151256834630573,3.27123097030519e-24,True
9,2.6835882863313776,0.0072836741310499204,True
10,1.419904585617662,0.15563546075803855,False
11,1.002006020070253,0.31634068532105364,False
12,3.7031176282662654,0.00021296607486092535,True
13,1.7425375883933072,0.08141442011758705,False
14,1.7425375883933072,0.08141442011758705,False
15,1.002006020070253,0.31634068532105364,False
16,1.419904585617662,0.15563546075803855,False
17,1.002006020070253,0.31634068532105364,False
18,3.994677309684806,6.478242492632285e-05,True
19,1.419904585617662,0.15563546075803855,False
